"X_coodinate_cell_0","y_coodinate_cell_0","X_coodinate_cell_1","y_coodinate_cell_1","X_coodinate_cell_2","y_coodinate_cell_2","X_coodinate_cell_3","y_coodinate_cell_3","X_coodinate_cell_4","y_coodinate_cell_4","X_coodinate_cell_5","y_coodinate_cell_5","X_coodinate_cell_6","y_coodinate_cell_6","X_coodinate_cell_7","y_coodinate_cell_7","X_coodinate_cell_8","y_coodinate_cell_8"
"227","797","424","864","572","1265","739","874","850","1163","1108","1018","1278","800","1404","908","1402","386"
"258","850","465","986","630","1259","766","930","956","1111","1188","1007","1247","729","1466","872","1439","453"
"283","913","504","1100","694","1232","789","986","1018","1045","1210","980","1204","644","1448","851","1478","524"
"325","965","521","1188","668","1174","797","1030","1000","1008","1191","930","1163","566","1444","818","1524","600"
"357","1047","531","1273","652","1066","827","1077","969","948","1156","872","1108","460","1423","778","1559","614"
"384","1112","451","1288","620","982","833","1132","929","878","1116","834","1073","467","1395","694","1559","831"
"404","1190","406","1289","588","902","849","1161","891","798","1082","775","1001","504","1357","622","1534","854"
"406","1287","404","1190","558","825","770","1205","863","748","1041","706","959","520","1323","563","1473","877"
"310","1280","385","1116","530","761","722","1220","836","690","1008","644","972","577","1287","501","1448","851"
"218","1240","324","964","500","702","694","1231","808","625","973","578","1012","653","1242","406","1444","817"
"144","1146","284","918","471","628","668","1169","790","580","958","520","1042","710","1198","414","1422","778"
"102","1071","260","854","377","639","652","1068","727","594","878","540","1076","766","1146","442","1397","696"
"58","1006","231","800","339","665","636","1021","674","607","790","580","1116","833","1109","460","1356","621"
"35","901","164","742","312","678","609","955","625","609","813","637","1151","866","1163","569","1315","551"
"58","824","258","690","390","806","577","875","649","640","854","732","1172","899","1205","646","1283","494"
"106","766","312","677","424","864","547","800","652","672","876","772","1192","934","1246","726","1242","407"
"164","741","","","452","946","522","744","682","746","905","826","1211","982","1273","786","1284","384"
"194","771","","","476","1020","496","692","702","773","940","900","1274","957","1297","844","1330","350"
"","","","","498","1085","471","629","722","830","976","960","1339","928","1317","883","1376","337"
"","","","","505","1104","551","615","742","880","1000","1008","1299","848","1340","930","",""
"","","","","521","1190","624","609","761","920","1019","1046","","","","","",""
"","","","","528","1241","650","642","788","985","","","","","","","",""
"","","","","531","1273","652","671","798","1032","","","","","","","",""
"","","","","","","672","718","826","1078","","","","","","","",""
"","","","","","","681","744","834","1136","","","","","","","",""
"","","","","","","701","772","","","","","","","","","",""
"","","","","","","718","817","","","","","","","","","",""
