"X_coodinate_cell_0","y_coodinate_cell_0","X_coodinate_cell_1","y_coodinate_cell_1","X_coodinate_cell_2","y_coodinate_cell_2","X_coodinate_cell_3","y_coodinate_cell_3"
"748","1330","1114","1054","1337","620","1495","300"
"814","1358","1167","946","1407","510","1519","244"
"930","1425","1226","834","1453","390","1559","166"
"1010","1299","1271","739","1391","331","1559","0"
"1072","1131","1284","693","1329","308","1215","0"
"1027","1075","1232","669","1255","289","1191","55"
"949","1063","1157","650","1139","234","1156","119"
"843","1031","1057","636","1111","218","1111","220"
"786","1006","980","585","1039","352","1138","233"
"704","939","935","544","978","443","1258","290"
"647","1008","789","767","936","543","1329","308"
"602","1082","733","881","980","582","1390","331"
"556","1157","709","944","1058","636","1449","385"
"537","1200","789","1007","1125","645","1477","357"
"624","1260","839","1029","1202","659","",""
"714","1301","942","1061","1244","674","",""
"","","1027","1076","1289","697","",""
"","","1065","1120","","","",""
