"X_coodinate_cell_0","y_coodinate_cell_0","X_coodinate_cell_1","y_coodinate_cell_1","X_coodinate_cell_2","y_coodinate_cell_2","X_coodinate_cell_3","y_coodinate_cell_3"
"747","1140","242","535","150","222","234","12"
"798","1167","300","559","273","300","411","78"
"840","1197","369","603","444","357","561","132"
"932","1244","441","648","627","420","741","180"
"1036","1276","540","690","777","513","993","285"
"1152","1284","612","747","990","594","1104","366"
"1188","1340","765","810","1131","663","1353","438"
"1238","1332","912","879","1290","720","1512","498"
"1261","1337","1035","918","1467","786","1512","678"
"1317","1354","1206","984","1509","831","1512","834"
"1289","1388","1275","1014","1509","1005","1464","786"
"1224","1479","1326","1080","1461","1125","1290","723"
"1189","1514","1468","1116","1455","1113","1140","669"
"505","1513","1328","1356","1329","1083","1011","603"
"442","1498","1242","1332","1281","1020","885","552"
"349","1468","1188","1338","1083","936","777","516"
"196","1456","1152","1281","939","885","615","414"
"85","1369","1044","1272","777","816","435","354"
"1","1237","930","1245","624","750","291","309"
"3","1029","849","1200","534","690","156","228"
"3","903","753","1140","393","624","159","180"
"7","751","717","1143","291","555","192","87"
"85","808","594","1095","171","501","",""
"136","826","525","1065","63","438","",""
"178","850","477","1029","105","330","",""
"226","877","381","996","","","",""
"286","910","288","912","","","",""
"369","993","147","831","","","",""
"417","1008","81","807","","","",""
"480","1032","8","755","","","",""
"525","1065","6","727","","","",""
"597","1098","12","697","","","",""
"666","1119","14","667","","","",""
"708","1143","30","631","","","",""
"","","26","597","","","",""
"","","38","547","","","",""
"","","46","491","","","",""
"","","60","432","","","",""
"","","196","515","","","",""
