"activity","imageID","image","oocyte","area","mean","n_pixels","cum_intensity","cum_int_wo_bgd","oocyte_vol","relative_conc_um3"
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_1",778.2179,128.3796,172885,22194905,16710342.9485816,4280.20006846148,3904.10323847037
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_2",595.0935,60.9584,132203,8058882,3864905.90673759,3273.01552853523,1180.83946533161
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_3",602.5208,32.9671,133853,4412742,166421.704609929,3313.86540049035,50.2198141738959
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_4",426.2294,27.1014,94689,2566202,-437689.003191489,2344.26274276281,0
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_5",383.2414,25.3139,85139,2155201,-545728.106028369,2107.82863538619,0
"active","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_6",431.5455,30.5071,95870,2924714,-116642.762411348,2373.50134808342,0
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_1",556.2558,156.9387,123575,19393697,15375899.081117,3059.40783445717,5025.77620019894
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_2",584.0157,111.6521,129742,14485973,10267667.2132979,3212.08732557671,3196.57162852955
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_3",528.1583,65.7287,117333,7712143,3897291.42632979,2904.87153097603,1341.63985731249
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_4",510.1258,33.6154,113327,3809531,124926.632180851,2805.69299336862,44.5261233057646
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_5",455.6188,21.1756,101218,2143353,-1147551.0643617,2505.90444821433,0
"active","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_6",465.9585,18.3064,103515,1894983,-1470603.49867021,2562.77242147549,0
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_1",809.3898,153.8633,179810,27666165,24097446.5992908,4451.64574318222,5413.15459259005
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_2",439.9676,96.2182,97741,9404465,7464583.42943262,2419.82262713071,3084.76470371868
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_3",453.7463,42.3716,100802,4271139,2270505.26312057,2495.60532898201,909.801416414967
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_4",560.7481,23.9697,124573,2985972,513551.34858156,3084.11581761548,166.514936192837
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_5",633.4271,19.9331,140719,2804972,12099.0528368792,3483.85038281997,3.47289679733195
"active","SUM_raw_worm12_Airyscan Processing_exp1","SUM_raw_worm12_Airyscan Processing","oocyte_6",505.2508,21.551,112244,2418971,191246.022695035,2778.88062286717,68.8212444684699
"active","SUM_raw_worm13_Airyscan Processing_exp1","SUM_raw_worm13_Airyscan Processing","oocyte_1",1008.1925,111.726,223975,25023826,19792302.1391844,5545.06064918102,3569.35719758226
"active","SUM_raw_worm13_Airyscan Processing_exp1","SUM_raw_worm13_Airyscan Processing","oocyte_2",641.318,53.7536,142472,7658386,4330578.57730496,3527.25027708502,1227.74916354499
"active","SUM_raw_worm13_Airyscan Processing_exp1","SUM_raw_worm13_Airyscan Processing","oocyte_3",520.8526,31.4054,115710,3633922,931211.313829787,2864.69011147108,325.065287201899
"active","SUM_raw_worm13_Airyscan Processing_exp1","SUM_raw_worm13_Airyscan Processing","oocyte_4",622.4708,31.4204,138285,4344965,1114955.94946808,3423.59063231163,325.668594529148
"active","SUM_raw_worm13_Airyscan Processing_exp1","SUM_raw_worm13_Airyscan Processing","oocyte_5",403.286,27.2913,89592,2445079,352422.740425532,2218.07377466872,158.886843372993
"active","SUM_raw_worm14_Airyscan Processing_exp1","SUM_raw_worm14_Airyscan Processing","oocyte_1",766.1092,33.7145,170195,5738033,2813679.03893321,4213.60239842555,667.760925896703
"active","SUM_raw_worm14_Airyscan Processing_exp1","SUM_raw_worm14_Airyscan Processing","oocyte_2",552.5782,16.1089,122758,1977493,-131780.736317967,3039.18095846484,0
"active","SUM_raw_worm14_Airyscan Processing_exp1","SUM_raw_worm14_Airyscan Processing","oocyte_3",221.6696,10.9174,49245,537627,-308518.955008865,1219.18299662426,0
"active","SUM_raw_worm16_Airyscan Processing_exp1","SUM_raw_worm16_Airyscan Processing","oocyte_1",974.0632,142.7673,216393,30893847,25640158.7577128,5357.34929817269,4785.97853726996
"active","SUM_raw_worm16_Airyscan Processing_exp1","SUM_raw_worm16_Airyscan Processing","oocyte_2",728.3293,73.4447,161802,11883500,7955197.02819149,4005.81271641383,1985.91336923842
"active","SUM_raw_worm16_Airyscan Processing_exp1","SUM_raw_worm16_Airyscan Processing","oocyte_3",679.3545,42.0141,150922,6340845,2676691.64521277,3736.45113649156,716.372715026622
"active","SUM_raw_worm16_Airyscan Processing_exp1","SUM_raw_worm16_Airyscan Processing","oocyte_4",631.2935,35.3237,140245,4953973,1549040.73537234,3472.11532869468,446.137466279005
"active","SUM_raw_worm16_Airyscan Processing_exp1","SUM_raw_worm16_Airyscan Processing","oocyte_5",233.7737,25.5738,51934,1328151,67273.590957447,1285.75590916204,52.3222102096277
"active","SUM_raw_worm17_Airyscan Processing_exp1","SUM_raw_worm17_Airyscan Processing","oocyte_1",735.2704,103.3321,163344,16878683,12930346.2163121,4043.98877856825,3197.42386151971
"active","SUM_raw_worm17_Airyscan Processing_exp1","SUM_raw_worm17_Airyscan Processing","oocyte_2",474.1059,41.0793,105325,4326674,1780767.37507388,2607.58349313535,682.918640864951
"active","SUM_raw_worm17_Airyscan Processing_exp1","SUM_raw_worm17_Airyscan Processing","oocyte_3",406.0408,24.8826,90204,2244509,64105.8554964541,2233.22536353934,28.7055021598248
"active","SUM_raw_worm17_Airyscan Processing_exp1","SUM_raw_worm17_Airyscan Processing","oocyte_4",355.4005,23.2175,78954,1833113,-75356.1351950355,1954.70350929987,0
"active","SUM_raw_worm17_Airyscan Processing_exp1","SUM_raw_worm17_Airyscan Processing","oocyte_5",209.7229,22.1381,46591,1031435,-94758.5491282505,1153.4765965219,0
"active","SUM_raw_worm17_Airyscan Processing_exp1","SUM_raw_worm17_Airyscan Processing","oocyte_6",298.2242,20.9487,66252,1387892,-213545.509751773,1640.23376773988,0
"active","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_1",979.7439,133.3304,217655,29020034,16827388.7426862,5388.59326084382,3122.77953226908
"active","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_2",524.9938,53.6136,116630,6252955,-280449.775265958,2887.46700977333,0
"active","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_3",528.5994,34.7551,117431,4081324,-2496951.36795213,2907.29776579518,0
"active","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_4",599.8695,29.7565,133264,3965465,-3499746.81489362,3299.28323407728,0
"active","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_1",884.4951,144.4118,196495,28376195,23767269.4814569,4864.72459989206,4885.6351461261
"active","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_2",629.835,70.3901,139921,9849049,6567105.60459515,3464.09389929259,1895.76431687843
"active","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_3",549.6523,27.2362,122108,3325756,461628.784456265,3023.08858466434,152.701044487428
"active","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_4",517.6971,19.8171,115009,2279140,-418475.282638889,2847.33510526469,0
"active","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_5",117.3865,18.6075,26078,485246,-126431.445596927,645.62603687618,0
