activity	imageID	image	oocyte	area	mean	n_pixels	cum_intensity
active	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_1	902.505	117.867	200496	23631864
active	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_2	847.1383	92.1532	188196	17342868
active	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_3	766.0597	46.186	170184	7860124
active	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_4	697.1484	34.9298	154875	5409755
active	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_5	304.6522	27.5888	67680	1867209
active	SUM_raw_worm2_Airyscan Processing_exp2	SUM_raw_worm2_Airyscan Processing	oocyte_1	780.4146	106.7552	173373	18508467
active	SUM_raw_worm2_Airyscan Processing_exp2	SUM_raw_worm2_Airyscan Processing	oocyte_2	505.1743	60.179	112227	6753714
active	SUM_raw_worm2_Airyscan Processing_exp2	SUM_raw_worm2_Airyscan Processing	oocyte_3	443.0285	31.5464	98421	3104824
active	SUM_raw_worm2_Airyscan Processing_exp2	SUM_raw_worm2_Airyscan Processing	oocyte_4	713.5829	23.5517	158526	3733558
active	SUM_raw_worm2_Airyscan Processing_exp2	SUM_raw_worm2_Airyscan Processing	oocyte_5	492.467	24.9917	109404	2734187
active	SUM_raw_worm2_Airyscan Processing_exp2	SUM_raw_worm2_Airyscan Processing	oocyte_6	304.6522	34.7693	67680	2353187
active	SUM_raw_worm3_Airyscan Processing_exp2	SUM_raw_worm3_Airyscan Processing	oocyte_1	792.7978	94.4412	176124	16633354
active	SUM_raw_worm3_Airyscan Processing_exp2	SUM_raw_worm3_Airyscan Processing	oocyte_2	571.6279	53.0486	126990	6736640
active	SUM_raw_worm3_Airyscan Processing_exp2	SUM_raw_worm3_Airyscan Processing	oocyte_3	492.8181	35.6442	109482	3902394
active	SUM_raw_worm3_Airyscan Processing_exp2	SUM_raw_worm3_Airyscan Processing	oocyte_4	631.0864	35.6972	140199	5004708
active	SUM_raw_worm3_Airyscan Processing_exp2	SUM_raw_worm3_Airyscan Processing	oocyte_5	438.5812	34.3897	97433	3350691
active	SUM_raw_worm3_Airyscan Processing_exp2	SUM_raw_worm3_Airyscan Processing	oocyte_6	304.6522	37.5849	67680	2543748
active	SUM_raw_worm4_Airyscan Processing_exp2	SUM_raw_worm4_Airyscan Processing	oocyte_1	567.3876	133.203	126048	16789975
active	SUM_raw_worm4_Airyscan Processing_exp2	SUM_raw_worm4_Airyscan Processing	oocyte_2	561.7699	78.2972	124800	9771488
active	SUM_raw_worm4_Airyscan Processing_exp2	SUM_raw_worm4_Airyscan Processing	oocyte_3	466.8092	45.7002	103704	4739296
active	SUM_raw_worm4_Airyscan Processing_exp2	SUM_raw_worm4_Airyscan Processing	oocyte_4	564.9164	29.9115	125499	3753861
active	SUM_raw_worm4_Airyscan Processing_exp2	SUM_raw_worm4_Airyscan Processing	oocyte_5	466.026	31.5261	103530	3263901
active	SUM_raw_worm4_Airyscan Processing_exp2	SUM_raw_worm4_Airyscan Processing	oocyte_6	304.6522	33.9727	67680	2299271
active	SUM_raw_worm5_Airyscan Processing_exp2	SUM_raw_worm5_Airyscan Processing	oocyte_1	1045.0136	117.4708	232155	27271438
active	SUM_raw_worm5_Airyscan Processing_exp2	SUM_raw_worm5_Airyscan Processing	oocyte_2	694.8662	63.5385	154368	9808311
active	SUM_raw_worm5_Airyscan Processing_exp2	SUM_raw_worm5_Airyscan Processing	oocyte_3	615.7188	25.9427	136785	3548576
active	SUM_raw_worm5_Airyscan Processing_exp2	SUM_raw_worm5_Airyscan Processing	oocyte_4	460.8224	19.4669	102374	1992900
active	SUM_raw_worm5_Airyscan Processing_exp2	SUM_raw_worm5_Airyscan Processing	oocyte_5	304.6522	15.0407	67680	1017955
active	SUM_raw_worm6_Airyscan Processing_exp2	SUM_raw_worm6_Airyscan Processing	oocyte_1	1250.9509	107.6487	277905	29916122
active	SUM_raw_worm6_Airyscan Processing_exp2	SUM_raw_worm6_Airyscan Processing	oocyte_2	678.1211	46.5242	150648	7008777
active	SUM_raw_worm6_Airyscan Processing_exp2	SUM_raw_worm6_Airyscan Processing	oocyte_3	690.5584	21.1736	153411	3248260
active	SUM_raw_worm6_Airyscan Processing_exp2	SUM_raw_worm6_Airyscan Processing	oocyte_4	502.352	16.7894	111600	1873695
active	SUM_raw_worm6_Airyscan Processing_exp2	SUM_raw_worm6_Airyscan Processing	oocyte_5	261.25	16.3294	58038	947726
active	SUM_raw_worm6_Airyscan Processing_exp2	SUM_raw_worm6_Airyscan Processing	oocyte_6	304.6522	20.746	67680	1404087
active	SUM_raw_worm7_Airyscan Processing_exp2	SUM_raw_worm7_Airyscan Processing	oocyte_1	1019.2343	57.1331	226428	12936523
active	SUM_raw_worm7_Airyscan Processing_exp2	SUM_raw_worm7_Airyscan Processing	oocyte_2	643.1996	16.6169	142890	2374393
active	SUM_raw_worm7_Airyscan Processing_exp2	SUM_raw_worm7_Airyscan Processing	oocyte_3	601.8366	10.5741	133701	1413774
active	SUM_raw_worm7_Airyscan Processing_exp2	SUM_raw_worm7_Airyscan Processing	oocyte_4	476.1405	12.8649	105777	1360812
active	SUM_raw_worm7_Airyscan Processing_exp2	SUM_raw_worm7_Airyscan Processing	oocyte_5	304.6522	21.4959	67680	1454845
active	SUM_raw_worm8_Airyscan Processing_exp2	SUM_raw_worm8_Airyscan Processing	oocyte_1	1204.2538	120.9413	267531	32355540
active	SUM_raw_worm8_Airyscan Processing_exp2	SUM_raw_worm8_Airyscan Processing	oocyte_2	573.5635	52.0213	127420	6628554
active	SUM_raw_worm8_Airyscan Processing_exp2	SUM_raw_worm8_Airyscan Processing	oocyte_3	689.9597	37.1533	153278	5694779
active	SUM_raw_worm8_Airyscan Processing_exp2	SUM_raw_worm8_Airyscan Processing	oocyte_4	549.4092	46.7569	122054	5706870
active	SUM_raw_worm8_Airyscan Processing_exp2	SUM_raw_worm8_Airyscan Processing	oocyte_5	503.7969	30.9347	111921	3462242
active	SUM_raw_worm8_Airyscan Processing_exp2	SUM_raw_worm8_Airyscan Processing	oocyte_6	304.6522	32.3633	67680	2190346
active	SUM_raw_worm9_Airyscan Processing_exp2	SUM_raw_worm9_Airyscan Processing	oocyte_1	852.1483	164.6774	189309	31174911
active	SUM_raw_worm9_Airyscan Processing_exp2	SUM_raw_worm9_Airyscan Processing	oocyte_2	589.5748	90.1524	130977	11807894
active	SUM_raw_worm9_Airyscan Processing_exp2	SUM_raw_worm9_Airyscan Processing	oocyte_3	383.7456	48.0343	85251	4094976
active	SUM_raw_worm9_Airyscan Processing_exp2	SUM_raw_worm9_Airyscan Processing	oocyte_4	304.6522	39.4433	67680	2669523
