activity	imageID	image	oocyte	area	mean	n_pixels	cum_intensity
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_1	661.6416	157.6272	146987	23169147
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_2	385.06	71.9416	85543	6154101
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_3	457.1178	38.7161	101551	3931657
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_4	405.4737	33.4589	90078	3013907
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_5	329.6572	30.4944	73235	2233259
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_6	269.312	28.3235	59829	1694564
quiescent	SUM_raw_worm10_Airyscan Processing_exp2	SUM_raw_worm10_Airyscan Processing	oocyte_7	304.6522	50.9888	67680	3450924
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_1	512.9257	264.806	113949	30174377
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_2	370.0344	169.7432	82205	13953742
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_3	406.9501	123.2863	90406	11145822
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_4	368.1394	100.8417	81784	8247240
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_5	389.6784	91.803	86569	7947291
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_6	355.8056	96.0432	79044	7591637
quiescent	SUM_raw_worm11_Airyscan Processing_exp2	SUM_raw_worm11_Airyscan Processing	oocyte_7	304.6522	64.3529	67680	4355403
quiescent	SUM_raw_worm12_Airyscan Processing_exp2	SUM_raw_worm12_Airyscan Processing	oocyte_1	891.9988	132.7827	198162	26312482
quiescent	SUM_raw_worm12_Airyscan Processing_exp2	SUM_raw_worm12_Airyscan Processing	oocyte_2	532.358	89.974	118266	10640864
quiescent	SUM_raw_worm12_Airyscan Processing_exp2	SUM_raw_worm12_Airyscan Processing	oocyte_3	554.1536	55.2277	123108	6798966
quiescent	SUM_raw_worm12_Airyscan Processing_exp2	SUM_raw_worm12_Airyscan Processing	oocyte_4	466.4041	41.0683	103614	4255247
quiescent	SUM_raw_worm12_Airyscan Processing_exp2	SUM_raw_worm12_Airyscan Processing	oocyte_5	427.9174	42.1918	95064	4010924
quiescent	SUM_raw_worm12_Airyscan Processing_exp2	SUM_raw_worm12_Airyscan Processing	oocyte_6	207.1842	39.6061	46027	1822952
