activity	imageID	image	oocyte	area	mean	n_pixels	cum_intensity
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_1	494.4476	163.5873	109844	17969085
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_2	356.1882	149.7725	79129	11851348
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_3	347.7752	128.3752	77260	9918269
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_4	324.1386	107.9454	72009	7773041
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_5	387.0136	104.9075	85977	9019629
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_6	394.4723	87.9284	87634	7705515
quiescent	SUM_raw_worm10_Airyscan Processing_exp1	SUM_raw_worm10_Airyscan Processing	oocyte_7	304.6522	67.6506	67680	4578591
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_1	317.6026	221.6166	70557	15636605
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_2	333.7715	195.3739	74149	14486778
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_3	324.9713	129.447	72194	9345297
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_4	286.8943	93.2844	63735	5945480
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_5	344.9483	68.8541	76632	5276426
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_6	379.4558	73.5458	84298	6199763
quiescent	SUM_raw_worm11_Airyscan Processing_exp1	SUM_raw_worm11_Airyscan Processing	oocyte_7	304.6522	54.295	67680	3674683
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_1	535.473	125.8594	118958	14971981
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_2	377.7498	99.3434	83919	8336801
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_3	351.8084	92.7981	78156	7252728
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_4	319.0205	72.2486	70872	5120400
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_5	278.4452	65.7308	61858	4065973
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_6	317.5215	56.8419	70539	4009572
quiescent	SUM_raw_worm1_Airyscan Processing_exp1	SUM_raw_worm1_Airyscan Processing	oocyte_7	304.6522	36.964	67680	2501723
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_1	205.7572	418.4242	45710	19126169
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_2	366.5909	179.4168	81440	14611701
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_3	327.4741	144.8343	72750	10536695
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_4	317.427	110.6498	70518	7802805
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_5	338.2098	101.6621	75135	7638380
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_6	353.4604	96.9325	78523	7611427
quiescent	SUM_raw_worm2_Airyscan Processing_exp1	SUM_raw_worm2_Airyscan Processing	oocyte_7	304.6522	57.7292	67680	3907110
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_1	344.4082	258.1576	76512	19752151
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_2	217.7579	114.6575	48376	5546672
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_3	295.5864	128.9762	65666	8469349
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_4	328.8605	110.6781	73058	8085923
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_5	289.0009	92.3947	64203	5932019
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_6	295.2398	86.5684	65589	5677936
quiescent	SUM_raw_worm3_Airyscan Processing_exp1	SUM_raw_worm3_Airyscan Processing	oocyte_7	304.6522	53.1969	67680	3600363
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_1	181.3869	450.2787	40296	18144430
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_2	612.0096	258.6855	135961	35171146
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_3	459.9041	156.9375	102170	16034306
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_4	284.9317	113.256	63299	7168990
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_5	740.8881	77.2586	164592	12716151
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_6	429.7495	69.648	95471	6649367
quiescent	SUM_raw_worm4_Airyscan Processing_exp1	SUM_raw_worm4_Airyscan Processing	oocyte_7	304.6522	54.1606	67680	3665587
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_1	509.7567	191.1296	113245	21644471
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_2	329.6572	146.8251	73235	10752735
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_3	354.8603	90.5703	78834	7140022
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_4	329.4277	63.67	73184	4659623
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_5	310.0808	56.4346	68886	3887557
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_6	263.7213	41.1088	58587	2408443
quiescent	SUM_raw_worm5_Airyscan Processing_exp1	SUM_raw_worm5_Airyscan Processing	oocyte_7	304.6522	47.887	67680	3240994
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_1	683.1041	445.8185	151755	67655185
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_2	280.2998	273.3867	62270	17023787
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_3	360.5501	130.0177	80098	10414156
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_4	330.9941	84.1084	73532	6184661
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_5	354.4552	79.7224	78744	6277661
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_6	311.9489	77.6423	69301	5380687
quiescent	SUM_raw_worm7_Airyscan Processing_exp1	SUM_raw_worm7_Airyscan Processing	oocyte_7	304.6522	60.0475	67680	4064017
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_1	520.9786	234.9217	115738	27189367
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_2	332.2275	191.9414	73806	14166426
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_3	342.6076	149.0415	76112	11343847
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_4	328.5904	146.6162	72998	10702688
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_5	356.2423	130.2889	79141	10311193
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_6	373.667	123.7674	83012	10274178
quiescent	SUM_raw_worm8_Airyscan Processing_exp1	SUM_raw_worm8_Airyscan Processing	oocyte_7	304.6522	56.0162	67680	3791176
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_1	427.8364	219.2711	95046	20840842
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_2	357.8492	117.5385	79498	9344079
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_3	336.5353	92.2389	74763	6896056
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_4	249.7896	88.4417	55492	4907808
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_5	186.5679	79.5094	41447	3295426
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_6	208.8677	78.8827	46401	3660238
quiescent	SUM_raw_worm9_Airyscan Processing_exp1	SUM_raw_worm9_Airyscan Processing	oocyte_7	304.6522	55.5238	67680	3757849
